	active|dispossess|goods|minimal
ලැටනි	trebles
ජෛවඥනය	biogenesis
සේනාංකය	brigade
ස්වභාවාත්මක	naturalistic
පිහිරීම	jetting
සමප්‍රභව	homologous
අපුර්ව	curious
හෙටට	tomorrow
නඟාලීම	uplift
ශුලිකාව	spicule
ප්‍රතිකාරී	vicarious
ක්ෂුද්‍රකොනීඩිය	microconidium
අටවිය	forest
ස්ඵටික	crystal|crystalline
මලානික	faded|languid|lurid|withered
සිවිල්	civil
වැක්කිරීම	tossing
ආබඳනය	affine
විපථනය	dislocation|disturbance
ධර්මාධිකරණය	court
සේරා	drake|teal
ධාන්‍යය	cariopsis|caryopside|caryopsis|cereal
විංවය	winch
බූසිය	gland|mop|shag|wad
ප්‍රාග්තන	primitive
හරක්මස්	beef
ප්‍රචුෂික	absorbing
නවාගත	novice
කාන්දුවීම	infiltration
ඉපල්	furze
කාර්ය්‍යාලය	chancellery
ඡාත්‍ර	student
හිප්නොස්පෝරය	hypnocyst|hypnosperm|hypnospore
ශිරස්ඡේදකය	guillotine
ජීවාත්මය	vitality
සතුණ්ඩ	cuspate
වාල්	slave
කථිකත්වය	eloquence
අවසායකයා	liquidator
කෑන්	can
අතිථීපූජක	hospitable
ස්වදේශීය	domestic|indigenous|inland|internal|native
විතේන්ද්‍රිය	vitals
ලිමාව	limma
ලන්දේසි	dutch
ත්‍රෛරේණුක	triandrous
වෙනවා	be|become|form|get|go|happen
පූරවගතය	antecedent
ව්‍යාජපාජකය	pseudoelator
ඇහිරුම	packing
කන්තුකරේඛය	cardiogram
සගාර්ව	honourable
අක්ෂිය	eye
හිමධාවය	avalanche
ගර්තික	alveolar|alveolate
පංචදල	pentapetalous
ග්ලිසරීන්	glycerin|glycerine
උපරිහාවිත්වය	hyperplasy
වරමාන	itinerant
ලජ්ජාවීම	abashment
උදුරනවා	extract|pluck|plunder|root|uproot
ආම්ලික	acetic|acidic|acidulous
පෙනිසිලාකාර	penicillate|penicilliform
තූර්යවාදකයා	instrumentalist
මිථ්‍යාලිඛිතය	pseudograph
නිරවශ්‍ය	inessential
යහපත්කම	bonhomie|goodness|virtue
ලොවනවා	lick
පහසුකම	convenience|conveniency|ease|easiness|facility
දිගට	along|alongst
පාතාලය	abyss|deep|gulf|hades
දුවවනවා	propel|run
පුනරාවතාරය	re-incarnation
ඉන්ද්‍රජාල	conjuring|magic
යමකම්	vulcanicity|vulcanism
දාමකරණය	chaining
කණාමැදිරියා	fire-fly
දෙබිඩි	bifurcate
තැටිය	disc|dish|disk|pallet|pan|plate|record|tray
බෙල	bel|energy
අනවධානී	reckless
මුල්ල	coign|angle|bend|corner|nook|abend
වෙරි	drunkenness
අමාත්‍යංශය	ministry
අවමාන	contemptuous
ලකනැකිය	anchor|anchorage
ඇළි	white
අවකාර්යය	hypofunction
මිථ්‍යාදෘෂ්ටිය	heathenism|heresy|paganism|unbelief
යාවත්කාල	tentative
පිළිස්සීයාම	combustion
පිටවෙන්න	exit
වාක්‍යයීය	sentential
අප්‍රකට	concealed|dark|disguised|inconspicuous|inglorious|latent|lurking|obscure|secret|subtle|unknown|unmanifest
ගෙවල්	houses
මිණි	bell|gem
සෙබඩ	pea-hen
දූරඥානය	telepathy|telepethy
කරවුවර	tax|toll
උඩුරැවුල	moustache
නගරංකාරයා	souteneur
නිර්මුක්ත	immune
සම්ප්‍රේෂකතාව	transmissivity
පුනපුනා	repeatedly
සුසංගත	concordant
ධනු	bow|sagitarius
සඟු	bhikkhu
රැවටිල්ල	affectation|blind|bubble|cheatery|chicanery|deceit|deception|decoy|dissimulation|dummy|eyewash|fake|feint|flam|gloss|guise|humbug|illusion|imitation|imposition|mask|mockery|mummery|pretence|pretext|quirk|razzmataz|sham|simulation|spoof
හැඳ	bed
ආපාත	accidental
මෙලිටෝස්	melitose
හානිසහනය	amendo|amends
අඵල	barren|fruitless
වැරිසෙලාව	varicella
රියැදුරා	driver
අන්තර්වර්තනය	introversion
උපකාරය	accommodation|aid|assistance|avail|benefaction|benefit|contribution|favour|help|kindness|lift|patronage|service
පරිකප්පනය	elaboration
චෞරයා	thief
ටෝමේන්	ptomaine
කුඩුකේඩුව	maliciousness
ප්‍රොටියේස්	protease
අධිස්පර්ශය	osculation
පොස්පොග්ලුකොමියුටේස්	phosphoglucomutase
සුසංගතතාව	concordance
වත්‍රශිල්පියා	artist
භාණ්ඩාගාරය	repertory|repository|treasury
පිරිහෙනවා	collapse|decline|decrease|degenerate|deteriorate|dwindle|ebb|fail|fall|wane
බුද්ධධර්මය	buddhism
කාබොක්සිලේස්	carboxylase
ආන්තරිකයා	intermediary
දක්ෂිණ	austral|meridional|southern
මනුෂ්‍යවාදය	hominism
සේවාලාභියා	client
අනග්‍රස්ථ	non-terminal
රොම්බසීය	rhombic
පව්කාරයා	sinner
අන්තර්ව්‍යාවර්තනය	introversion
රජ්ජුක	chordaceous
විසංයෝගය	abstraction|separation
ප්‍රාර්ථනීය	enviable
ශවභාජනය	coffin
අපවිත්‍ර	dirty|filthy|impure|unclean|unwholesome
ටෙලිපෝනය	telephone
ඝනීකරණිය	condenser
ගුලාව	ball
ගෝලාර්ධය	dome|vault
ස්වර්ගීය	supernal
ශිෂ්ටසම්මත	fashionable
එක්සිමා	eczema
ශරත්	autumn|autumnal
පථය	course|locus|path|road|track|tract|way
රථාචාරියා	cab-man
හාසමාන	apparent
ලැගෙජ්	luggage
වෙරිවීම	insobriety
ප්‍රභූවරයා	chieftan|mugwump
අවස්ථානුරූප	provisional
සාරවත්ව	pithily
පර්යාලෝකතාව	perspectivity
ක්‍රියැටින්	creatine
අවකාශ්‍ය	vacant
අධහ්පුටික	hypostomatic|hypostomatous
කරතරී	scissors|shears
නොමසුරු	free|liberal|profuse|unsparing
විඝ්න	danger|obstacle
අණ්ඩාධිකරණය	assize|commission
වේසී	prostitute
හාස්‍යය	comicality|humer|humour|laugh|laughter|satire|smile
සමාකෘතිවාදය	configurationism
සත්වෝද්‍යානය	vivarium|zoo
භස්මය	ash|base
යාදින්නා	incantation
අඳින්න	draw
ට්‍රුජඩිය	tragedy
ස්පර්ශ	contact|contactable|haptics|tangible|touch
වැළකීම	abstention|abstinence|avoidance|cessation|check|eschewal|stay
රජමැදුර	court
ශ්වෙතසෛටය	leucocyte
බැලන්තිදියාව	balantidiasis
පචයා	liar
ගැළපෙන	coherent|applicable|apposite|companion|compatible|congenial|consistent|consonance|consonant
මව්කිරි	breast-milk
ඝණ්ටාකාර	bell-shaped|campanulate
ආමූල	radical
උපසමූහය	sub-group|subgroup
යුෂ	juice|sap
අලිංගික	asexual|non-sexual|sexless
කැසපට	girdle
අනුසාරය	trace
අපක්පාලකය	detergent
සෝමාලෝව	somalo
ඡායාකාමි	sciophilous
සෝපාධික	conditional|hypothetical
නිශේධක	negative
සපු	champak|serpent
සකලාංගසම්පූර්ණ	finished
සංකූලතාව	complication|confusion
උවසුන	bonnet
වර්ණේක්ෂණය	chromatopsia
ප්‍රතිවාදී	antagonistic|contentious|opposite
පැහැරගැනීම	depredation
ද්‍රවතාව	fluidity|liquidity
ඝෝ	declamatory
කනිම	minimal
කරුමකාර	fateful|troublesome
කේන්ද්‍රපථය	centrode
කාබැනායනය	carbanion
අනුකරණය	aping|copying|echo|emulation|imitation|mimesis|mimicry
ඉච්චාකාර	sleek|soapy
උපාගමය	synapsis
ප්‍රතිනිධි	agent|attorney|commissary|delegate|regent|surety
ශංකිතයා	suspect
මුවකඩ	mouthpiece
සිතින්	inwardly|mentally
ඉසිවරයා	sainfoin|saint
විලම්බනය	lagging|suspense
කොටකබාය	waistcoat
ආරාකාර	subulate
ශිශිර	hibernal|hiemal|hyemal|winter
විද්‍යුත්තානය	electrotonus
දිරිසුන්	demoralized
ද්විපාර්ශ්වීය	bilateral
පරාර්ථකාමියා	philanthropic|philanthropist
පරිවර්ජන	abstinent
නෝරියාව	noria
පුං	male|masculine
ඉරිතැළෙනවා	chap
පිරිපටිය	fillet
ලීමර්	lemur
හිටිවනම	impromptu
පිදීම	inflorescence|offering
කූටෝපාය	intrigue|machination|ploy|scheme|trick
පරිසමාප්ත	complete|full|perfect
සපා	bee|serpent
අනූර්ද්වකාරක	non-erecting
මිත්‍රපක්ෂය	allies
සාදිස්නය	tolerance
ලහපත	tally
කීලය	broach|cottar|cotter|key|plug|style|wedge
වස්ත්‍රාලංකාර	drapery
අදිපිඹුම	overblow
නැතක්	many|numerous
දෙබරා	wasp
ස්ට්‍රොපැන්තින්	strophanthin
අවක්ෂේපකය	precipitant
බයගිරිය	abhayagiri
විකර්ණකාරකය	modifier
කනලෙත්තා	canalete|canaletta
විමෝහය	stupor
සංදාමායනය	concatenation
රැසීමය	botrys|raceme
අනාථ	destitute|forlorn|forsaken|friendless|helpless
ගායනය	chant|chanting|recital|recitation|rendering|singing
මිටියම්කුරුව	riveter
අයදුම්කරු	applicant|petitioner
අමුබව	rawness
